1.000000000000000021e-02	3.963782204961034672e-02 7.025220617262300507e-04 1.606837119476268788e-03 5.808509480994944463e-02 3.003859891574615784e-04 9.490913084641065117e-03
2.999999999999999889e-02	2.859944032935719457e-02 1.304683862183131371e-03 3.715810802407732219e-03 5.798494839681491569e-02 8.010293432251213699e-04 1.191412503515256599e-02
5.000000000000000278e-02	3.140921015402586836e-02 7.627382650560131198e-03 3.715810802407732219e-03 2.984372057379480747e-02 5.707333706680016785e-03 1.446859413272597872e-01
6.999999999999999278e-02	4.575910378161812675e-02 3.422285910500104389e-02 3.615383489716693204e-03 5.698348053798190510e-02 2.683448282341805921e-02 1.112658140744545582e-01
8.999999999999999667e-02	4.947201457256725915e-02 2.529079422214428399e-02 3.916665194950516397e-03 6.609683302125385351e-03 4.115288025263697663e-02 9.016367756493355590e-02
1.100000000000000006e-01	4.714392042681707640e-01 8.299796331212354328e-02 6.728630415978192197e-03 5.708362788298836608e-03 9.111708200017790138e-02 6.865767348394179008e-03
1.300000000000000044e-01	6.716352493060020468e-01 6.282554171619224304e-02 7.331194292124425423e-03 7.911590866297944433e-03 5.577166736721092533e-02 6.764799989691708954e-03
1.500000000000000222e-01	9.591349235687881558e-01 8.410192735029080324e-02 5.222220725612608701e-03 1.532244780317938183e-02 8.430833357229758351e-02 1.332766526197847953e-02
1.700000000000000122e-01	1.761123475528988180e+00 1.332784753965817748e-01 3.424571642171578278e-02 1.792626199965256448e-02 5.006433133221748107e-03 1.635668136470479900e-02
1.900000000000000022e-01	1.877628529742324526e+00 1.092923578185518302e-01 2.972648641926185775e-02 5.407922617023321228e-03 5.206690439924110091e-03 1.686151582904326166e-02
2.100000000000000200e-01	4.739980978340305739e+00 2.430726370827304694e-01 2.058760003302014321e-02 3.905721993613724737e-03 1.321698410500666762e-02 3.220852453839291585e-02
2.300000000000000100e-01	2.337828669618888355e+00 4.365672785545466339e-01 1.702242996680967679e-01 7.911590866297944433e-03 1.511942851867911081e-02 3.513657188491243338e-02
2.500000000000000000e-01	4.524732462123414400e+00 6.181190654670186690e-01 1.783589222409998343e-01 9.814378307085567382e-03 3.083962895746530930e-02 2.705919995876683581e-02
